dataset,n_donors,trial,cell_type,n_cells_in_copula,n_train_cells_in_obs,n_genes_primary,k_max,has_cov_mat
ok,5d,1,0,2563,2563,58,570,True
ok,5d,1,1,250,250,74,78,True
ok,5d,1,10,44,44,266,25,True
ok,5d,1,12,250,250,135,114,True
ok,5d,1,13,398,398,113,148,True
ok,5d,1,14,1028,1028,167,442,True
ok,5d,1,15,38,38,170,12,True
ok,5d,1,2,10,10,87,5,True
ok,5d,1,3,1026,1026,125,310,True
ok,5d,1,4,650,650,67,162,True
ok,5d,1,5,65,65,102,30,True
ok,5d,1,6,40,40,275,14,True
ok,5d,1,8,11,11,252,5,True
ok,5d,1,9,79,79,230,27,True
ok,5d,2,0,1537,1537,55,520,True
ok,5d,2,1,213,213,64,68,True
ok,5d,2,10,31,31,249,14,True
ok,5d,2,12,177,177,147,50,True
ok,5d,2,13,358,358,96,134,True
ok,5d,2,14,911,911,175,314,True
ok,5d,2,15,37,37,165,12,True
ok,5d,2,2,5,5,76,1,True
ok,5d,2,3,801,801,119,282,True
ok,5d,2,4,527,527,78,172,True
ok,5d,2,5,124,124,117,44,True
ok,5d,2,6,32,32,263,9,True
ok,5d,2,8,53,53,320,20,True
ok,5d,2,9,114,114,267,92,True
ok,5d,3,0,2255,2255,61,739,True
ok,5d,3,1,246,246,87,80,True
ok,5d,3,10,34,34,260,14,True
ok,5d,3,12,175,175,162,51,True
ok,5d,3,13,230,230,120,64,True
ok,5d,3,14,753,753,175,196,True
ok,5d,3,15,42,42,166,13,True
ok,5d,3,2,13,13,102,9,True
ok,5d,3,3,1285,1285,137,440,True
ok,5d,3,4,604,604,76,231,True
ok,5d,3,5,133,133,103,67,True
ok,5d,3,6,44,44,303,17,True
ok,5d,3,8,10,10,228,5,True
ok,5d,3,9,119,119,259,45,True
ok,5d,4,0,1880,1880,61,490,True
ok,5d,4,1,266,266,75,70,True
ok,5d,4,10,48,48,264,22,True
ok,5d,4,12,171,171,164,68,True
ok,5d,4,13,288,288,114,89,True
ok,5d,4,14,761,761,163,234,True
ok,5d,4,15,50,50,155,13,True
ok,5d,4,2,13,13,83,7,True
ok,5d,4,3,1463,1463,129,576,True
ok,5d,4,4,537,537,71,175,True
ok,5d,4,5,181,181,104,49,True
ok,5d,4,6,42,42,299,12,True
ok,5d,4,8,9,9,334,3,True
ok,5d,4,9,161,161,228,94,True
ok,5d,5,0,2111,2111,72,558,True
ok,5d,5,1,322,322,91,113,True
ok,5d,5,10,74,74,235,46,True
ok,5d,5,12,247,247,144,78,True
ok,5d,5,13,325,325,130,101,True
ok,5d,5,14,555,555,171,176,True
ok,5d,5,15,40,40,167,11,True
ok,5d,5,2,25,25,63,9,True
ok,5d,5,3,1417,1417,124,577,True
ok,5d,5,4,601,601,89,137,True
ok,5d,5,5,210,210,110,68,True
ok,5d,5,6,54,54,271,26,True
ok,5d,5,8,15,15,198,6,True
ok,5d,5,9,228,228,236,124,True
ok,10d,1,0,5482,5482,68,1062,True
ok,10d,1,1,737,737,92,144,True
ok,10d,1,10,149,149,230,70,True
ok,10d,1,12,599,599,145,240,True
ok,10d,1,13,617,617,112,103,True
ok,10d,1,14,1426,1426,170,250,True
ok,10d,1,15,73,73,161,14,True
ok,10d,1,2,45,45,60,14,True
ok,10d,1,3,1552,1552,134,524,True
ok,10d,1,4,1909,1909,69,472,True
ok,10d,1,5,617,617,81,231,True
ok,10d,1,6,104,104,274,19,True
ok,10d,1,8,33,33,282,11,True
ok,10d,1,9,375,375,225,146,True
ok,10d,2,0,4132,4132,64,717,True
ok,10d,2,1,471,471,76,72,True
ok,10d,2,10,147,147,242,54,True
ok,10d,2,12,416,416,146,86,True
ok,10d,2,13,464,464,124,98,True
ok,10d,2,14,1513,1513,168,313,True
ok,10d,2,15,42,42,131,11,True
ok,10d,2,2,24,24,81,7,True
ok,10d,2,3,2662,2662,133,441,True
ok,10d,2,4,1151,1151,81,181,True
ok,10d,2,5,244,244,105,38,True
ok,10d,2,6,69,69,317,18,True
ok,10d,2,8,32,32,232,12,True
ok,10d,2,9,329,329,220,100,True
ok,10d,3,0,3858,3858,63,544,True
ok,10d,3,1,525,525,83,107,True
ok,10d,3,10,376,376,228,133,True
ok,10d,3,12,384,384,155,84,True
ok,10d,3,13,714,714,117,235,True
ok,10d,3,14,1468,1468,175,249,True
ok,10d,3,15,127,127,161,26,True
ok,10d,3,2,42,42,77,14,True
ok,10d,3,3,2166,2166,121,428,True
ok,10d,3,4,1255,1255,79,224,True
ok,10d,3,5,289,289,106,65,True
ok,10d,3,6,155,155,281,61,True
ok,10d,3,8,37,37,237,9,True
ok,10d,3,9,578,578,219,133,True
ok,10d,4,0,4860,4860,49,711,True
ok,10d,4,1,608,608,61,108,True
ok,10d,4,10,117,117,234,34,True
ok,10d,4,12,477,477,133,80,True
ok,10d,4,13,669,669,107,185,True
ok,10d,4,14,1654,1654,146,301,True
ok,10d,4,15,84,84,133,20,True
ok,10d,4,2,43,43,60,15,True
ok,10d,4,3,2207,2207,117,450,True
ok,10d,4,4,1270,1270,59,261,True
ok,10d,4,5,350,350,87,95,True
ok,10d,4,6,109,109,293,24,True
ok,10d,4,8,34,34,252,8,True
ok,10d,4,9,236,236,210,52,True
ok,10d,5,0,3632,3632,66,663,True
ok,10d,5,1,407,407,79,80,True
ok,10d,5,10,144,144,245,39,True
ok,10d,5,12,515,515,135,241,True
ok,10d,5,13,1077,1077,122,248,True
