dataset,n_donors,trial,cell_type,n_cells_in_copula,n_train_cells_in_obs,n_genes_primary,k_max,has_cov_mat
ok,10d,5,14,1524,1524,173,348,True
ok,10d,5,15,81,81,172,16,True
ok,10d,5,2,33,33,79,9,True
ok,10d,5,3,1603,1603,113,342,True
ok,10d,5,4,1240,1240,84,215,True
ok,10d,5,5,234,234,107,53,True
ok,10d,5,6,62,62,309,11,True
ok,10d,5,8,33,33,287,15,True
ok,10d,5,9,521,521,223,131,True
ok,20d,1,0,9576,9576,60,1068,True
ok,20d,1,1,1361,1361,81,161,True
ok,20d,1,10,399,399,231,75,True
ok,20d,1,12,1063,1063,140,121,True
ok,20d,1,13,1586,1586,110,199,True
ok,20d,1,14,2839,2839,158,250,True
ok,20d,1,15,207,207,144,29,True
ok,20d,1,2,123,123,62,30,True
ok,20d,1,3,4529,4529,120,625,True
ok,20d,1,4,3002,3002,72,297,True
ok,20d,1,5,751,751,96,96,True
ok,20d,1,6,183,183,284,21,True
ok,20d,1,8,83,83,247,13,True
ok,20d,1,9,945,945,225,213,True
ok,20d,2,0,7812,7812,60,828,True
ok,20d,2,1,1297,1297,80,136,True
ok,20d,2,10,355,355,236,53,True
ok,20d,2,12,731,731,147,140,True
ok,20d,2,13,1281,1281,112,203,True
ok,20d,2,14,4076,4076,167,410,True
ok,20d,2,15,238,238,149,22,True
ok,20d,2,2,83,83,67,19,True
ok,20d,2,3,5459,5459,131,709,True
ok,20d,2,4,2304,2304,87,256,True
ok,20d,2,5,736,736,107,82,True
ok,20d,2,6,174,174,289,19,True
ok,20d,2,8,76,76,295,19,True
ok,20d,2,9,1107,1107,220,131,True
ok,20d,3,0,9872,9872,54,983,True
ok,20d,3,1,1356,1356,72,157,True
ok,20d,3,10,297,297,224,65,True
ok,20d,3,12,1555,1555,136,385,True
ok,20d,3,13,2943,2943,106,896,True
ok,20d,3,14,3266,3266,152,397,True
ok,20d,3,15,187,187,142,31,True
ok,20d,3,2,86,86,58,19,True
ok,20d,3,3,4328,4328,111,415,True
ok,20d,3,4,2844,2844,64,268,True
ok,20d,3,5,716,716,95,94,True
ok,20d,3,6,173,173,273,19,True
ok,20d,3,8,90,90,248,16,True
ok,20d,3,9,981,981,217,144,True
ok,20d,4,0,8643,8643,62,739,True
ok,20d,4,1,1196,1196,77,131,True
ok,20d,4,10,354,354,225,63,True
ok,20d,4,12,1195,1195,131,438,True
ok,20d,4,13,2213,2213,112,635,True
ok,20d,4,14,3239,3239,167,483,True
ok,20d,4,15,159,159,159,21,True
ok,20d,4,2,68,68,67,9,True
ok,20d,4,3,4002,4002,123,546,True
ok,20d,4,4,2671,2671,72,231,True
ok,20d,4,5,694,694,91,78,True
ok,20d,4,6,194,194,294,22,True
ok,20d,4,8,41,41,257,6,True
ok,20d,4,9,1120,1120,219,262,True
ok,20d,5,0,9979,9979,57,850,True
ok,20d,5,1,1474,1474,74,164,True
ok,20d,5,10,237,237,223,31,True
ok,20d,5,12,1178,1178,133,181,True
ok,20d,5,13,1609,1609,102,261,True
ok,20d,5,14,3088,3088,158,313,True
ok,20d,5,15,199,199,141,25,True
ok,20d,5,2,111,111,47,15,True
ok,20d,5,3,4396,4396,115,462,True
ok,20d,5,4,3218,3218,66,293,True
ok,20d,5,5,1029,1029,80,100,True
ok,20d,5,6,168,168,268,21,True
ok,20d,5,8,64,64,247,8,True
ok,20d,5,9,1044,1044,218,221,True
ok,50d,1,0,22184,22184,57,840,True
ok,50d,1,1,3242,3242,77,129,True
ok,50d,1,10,983,983,215,133,True
ok,50d,1,12,2526,2526,132,240,True
ok,50d,1,13,4070,4070,103,188,True
ok,50d,1,14,7227,7227,159,436,True
ok,50d,1,15,511,511,143,28,True
ok,50d,1,2,214,214,59,44,True
ok,50d,1,3,11184,11184,113,534,True
ok,50d,1,4,7046,7046,67,399,True
ok,50d,1,5,1853,1853,87,185,True
ok,50d,1,6,542,542,271,61,True
ok,50d,1,8,182,182,258,17,True
ok,50d,1,9,2062,2062,222,154,True
ok,50d,2,0,24411,24411,60,1302,True
ok,50d,2,1,2889,2889,71,140,True
ok,50d,2,10,716,716,232,70,True
ok,50d,2,12,2607,2607,131,192,True
ok,50d,2,13,3822,3822,106,339,True
ok,50d,2,14,7570,7570,167,475,True
ok,50d,2,15,441,441,144,29,True
ok,50d,2,2,181,181,58,17,True
ok,50d,2,3,8742,8742,120,860,True
ok,50d,2,4,6944,6944,69,311,True
ok,50d,2,5,1496,1496,89,107,True
ok,50d,2,6,420,420,277,22,True
ok,50d,2,8,137,137,245,10,True
ok,50d,2,9,2081,2081,227,181,True
ok,50d,3,0,21479,21479,52,987,True
ok,50d,3,1,2978,2978,76,122,True
ok,50d,3,10,552,552,229,63,True
ok,50d,3,12,2752,2752,126,413,True
ok,50d,3,13,4432,4432,96,507,True
ok,50d,3,14,7346,7346,156,293,True
ok,50d,3,15,455,455,139,29,True
ok,50d,3,2,232,232,54,14,True
ok,50d,3,3,10774,10774,116,625,True
ok,50d,3,4,6601,6601,67,317,True
ok,50d,3,5,1923,1923,84,107,True
ok,50d,3,6,460,460,268,42,True
ok,50d,3,8,162,162,270,13,True
ok,50d,3,9,1811,1811,214,191,True
ok,50d,4,0,23885,23885,58,1068,True
ok,50d,4,1,3250,3250,73,161,True
ok,50d,4,10,681,681,219,53,True
ok,50d,4,12,2385,2385,139,241,True
ok,50d,4,13,4361,4361,106,220,True
ok,50d,4,14,8961,8961,153,514,True
ok,50d,4,15,527,527,139,31,True
ok,50d,4,2,218,218,58,30,True
ok,50d,4,3,11340,11340,116,625,True
ok,50d,4,4,6322,6322,69,331,True
ok,50d,4,5,1738,1738,91,92,True
ok,50d,4,6,423,423,271,24,True
ok,50d,4,8,265,265,298,96,True
ok,50d,4,9,1673,1673,218,178,True
ok,50d,5,0,23916,23916,61,1182,True
ok,50d,5,1,3109,3109,76,175,True
ok,50d,5,10,904,904,231,101,True
ok,50d,5,12,2341,2341,132,175,True
ok,50d,5,13,4080,4080,109,301,True
ok,50d,5,14,8777,8777,163,579,True
ok,50d,5,15,502,502,151,23,True
ok,50d,5,2,196,196,61,20,True
ok,50d,5,3,9196,9196,118,500,True
ok,50d,5,4,6509,6509,70,269,True
ok,50d,5,5,1727,1727,96,106,True
ok,50d,5,6,399,399,268,30,True
ok,50d,5,8,256,256,252,79,True
ok,50d,5,9,2387,2387,226,213,True
ok,100d,1,0,42619,42619,57,1381,True
ok,100d,1,1,5832,5832,70,166,True
ok,100d,1,10,1718,1718,223,96,True
ok,100d,1,12,5739,5739,136,417,True
ok,100d,1,13,10140,10140,105,779,True
ok,100d,1,14,15975,15975,156,456,True
ok,100d,1,15,1054,1054,140,52,True
ok,100d,1,2,309,309,63,16,True
ok,100d,1,3,22801,22801,118,717,True
ok,100d,1,4,12544,12544,70,472,True
ok,100d,1,5,3267,3267,88,231,True
ok,100d,1,6,917,917,263,42,True
ok,100d,1,8,360,360,256,19,True
ok,100d,1,9,4351,4351,224,262,True
ok,100d,2,0,45902,45902,57,1183,True
ok,100d,2,1,6279,6279,77,157,True
ok,100d,2,10,1256,1256,229,99,True
ok,100d,2,12,5071,5071,146,588,True
ok,100d,2,13,8478,8478,109,896,True
ok,100d,2,14,16081,16081,162,514,True
ok,100d,2,15,1023,1023,142,52,True
ok,100d,2,2,377,377,57,25,True
ok,100d,2,3,18678,18678,119,595,True
ok,100d,2,4,13203,13203,68,410,True
ok,100d,2,5,3169,3169,92,115,True
ok,100d,2,6,841,841,282,47,True
ok,100d,2,8,365,365,249,25,True
ok,100d,2,9,4022,4022,224,385,True
ok,100d,3,0,45287,45287,59,913,True
ok,100d,3,1,6046,6046,76,155,True
ok,100d,3,10,1637,1637,225,94,True
ok,100d,3,12,4951,4951,132,240,True
ok,100d,3,13,7502,7502,109,253,True
ok,100d,3,14,17499,17499,160,498,True
ok,100d,3,15,1055,1055,138,52,True
ok,100d,3,2,347,347,61,21,True
ok,100d,3,3,20791,20791,116,625,True
ok,100d,3,4,13659,13659,70,363,True
ok,100d,3,5,3529,3529,93,105,True
ok,100d,3,6,969,969,282,47,True
ok,100d,3,8,351,351,257,18,True
ok,100d,3,9,4304,4304,225,385,True
ok,100d,4,0,43250,43250,59,903,True
ok,100d,4,1,5627,5627,79,146,True
ok,100d,4,10,1536,1536,224,79,True
ok,100d,4,12,4371,4371,128,370,True
ok,100d,4,13,7849,7849,105,779,True
ok,100d,4,14,16781,16781,163,444,True
ok,100d,4,15,970,970,138,62,True
ok,100d,4,2,380,380,62,35,True
ok,100d,4,3,21465,21465,117,583,True
ok,100d,4,4,12877,12877,73,479,True
ok,100d,4,5,3379,3379,93,239,True
ok,100d,4,6,855,855,268,26,True
ok,100d,4,8,340,340,254,25,True
ok,100d,4,9,3769,3769,223,158,True
ok,100d,5,0,46560,46560,57,903,True
ok,100d,5,1,6248,6248,74,182,True
ok,100d,5,10,1294,1294,216,51,True
ok,100d,5,12,4344,4344,124,370,True
ok,100d,5,13,8336,8336,102,779,True
ok,100d,5,14,16674,16674,156,579,True
ok,100d,5,15,1006,1006,135,39,True
ok,100d,5,2,388,388,58,21,True
ok,100d,5,3,21073,21073,113,717,True
ok,100d,5,4,13197,13197,64,270,True
ok,100d,5,5,3472,3472,92,96,True
ok,100d,5,6,851,851,266,28,True
ok,100d,5,8,331,331,244,24,True
ok,100d,5,9,3120,3120,216,238,True
ok,200d,1,0,93561,93561,58,1054,True
ok,200d,1,1,12841,12841,78,166,True
ok,200d,1,10,3140,3140,225,99,True
ok,200d,1,12,9451,9451,135,241,True
ok,200d,1,13,15286,15286,107,316,True
ok,200d,1,14,33069,33069,163,531,True
ok,200d,1,15,2025,2025,146,43,True
ok,200d,1,2,862,862,54,25,True
ok,200d,1,3,42569,42569,119,613,True
ok,200d,1,4,27168,27168,70,410,True
ok,200d,1,5,7270,7270,96,148,True
ok,200d,1,6,1699,1699,275,42,True
ok,200d,1,8,675,675,266,20,True
ok,200d,1,9,8248,8248,221,189,True
ok,200d,2,0,98042,98042,58,1184,True
ok,200d,2,1,12415,12415,75,175,True
ok,200d,2,10,2969,2969,228,133,True
ok,200d,2,12,9033,9033,136,187,True
ok,200d,2,13,15028,15028,108,316,True
ok,200d,2,14,34312,34312,165,588,True
ok,200d,2,15,2111,2111,138,52,True
ok,200d,2,2,770,770,55,23,True
ok,200d,2,3,40656,40656,119,749,True
ok,200d,2,4,26720,26720,71,363,True
ok,200d,2,5,6594,6594,91,107,True
ok,200d,2,6,1809,1809,274,61,True
ok,200d,2,8,779,779,274,96,True
ok,200d,2,9,7595,7595,226,385,True
ok,200d,3,0,97116,97116,56,1381,True
ok,200d,3,1,12122,12122,74,161,True
ok,200d,3,10,2667,2667,227,95,True
ok,200d,3,12,8997,8997,132,392,True
ok,200d,3,13,16102,16102,106,448,True
ok,200d,3,14,31707,31707,159,498,True
ok,200d,3,15,2085,2085,136,62,True
ok,200d,3,2,1009,1009,53,41,True
ok,200d,3,3,42362,42362,116,717,True
ok,200d,3,4,28363,28363,67,472,True
ok,200d,3,5,6844,6844,85,231,True
ok,200d,3,6,1706,1706,264,38,True
ok,200d,3,8,585,585,252,16,True
ok,200d,3,9,7180,7180,221,300,True
ok,200d,4,0,95481,95481,58,1182,True
ok,200d,4,1,13162,13162,74,188,True
ok,200d,4,10,3089,3089,227,133,True
ok,200d,4,12,9561,9561,132,438,True
ok,200d,4,13,16684,16684,106,635,True
ok,200d,4,14,33296,33296,162,483,True
ok,200d,4,15,1959,1959,141,62,True
ok,200d,4,2,893,893,59,21,True
ok,200d,4,3,38891,38891,118,860,True
ok,200d,4,4,28131,28131,67,370,True
ok,200d,4,5,6999,6999,90,143,True
ok,200d,4,6,1747,1747,273,61,True
ok,200d,4,8,716,716,256,23,True
ok,200d,4,9,7517,7517,223,181,True
ok,200d,5,0,93907,93907,58,1302,True
ok,200d,5,1,12664,12664,76,182,True
ok,200d,5,10,3260,3260,224,101,True
ok,200d,5,12,9870,9870,133,392,True
ok,200d,5,13,16777,16777,106,896,True
ok,200d,5,14,33881,33881,157,588,True
ok,200d,5,15,1956,1956,137,32,True
ok,200d,5,2,807,807,58,44,True
ok,200d,5,3,40425,40425,117,717,True
ok,200d,5,4,26414,26414,68,391,True
ok,200d,5,5,6862,6862,89,185,True
ok,200d,5,6,1784,1784,267,34,True
ok,200d,5,8,657,657,250,62,True
ok,200d,5,9,7759,7759,217,221,True
ok,200d,6,0,90829,90829,57,1130,True
ok,200d,6,1,12606,12606,75,188,True
ok,200d,6,10,3274,3274,223,95,True
ok,200d,6,12,9614,9614,127,413,True
ok,200d,6,13,16827,16827,105,507,True
ok,200d,6,14,33084,33084,157,588,True
ok,200d,6,15,1950,1950,133,60,True
ok,200d,6,2,729,729,56,29,True
ok,200d,6,3,41434,41434,115,709,True
ok,200d,6,4,27080,27080,68,316,True
ok,200d,6,5,6792,6792,86,123,True
ok,200d,6,6,1807,1807,280,29,True
ok,200d,6,8,811,811,250,79,True
ok,200d,6,9,7722,7722,222,262,True
ok,490d,1,0,225579,225579,56,1289,True
ok,490d,1,1,30520,30520,71,180,True
ok,490d,1,10,7647,7647,220,133,True
ok,490d,1,12,24151,24151,124,417,True
ok,490d,1,13,41616,41616,101,896,True
ok,490d,1,14,79019,79019,148,622,True
ok,490d,1,15,4909,4909,132,62,True
ok,490d,1,2,2009,2009,51,41,True
ok,490d,1,3,106099,106099,114,860,True
ok,490d,1,4,65625,65625,60,479,True
ok,490d,1,5,17426,17426,80,239,True
ok,490d,1,6,4435,4435,258,61,True
ok,490d,1,8,1867,1867,239,96,True
ok,490d,1,9,19145,19145,213,385,True
ok,490d,2,0,231664,231664,58,1302,True
ok,490d,2,1,30740,30740,78,175,True
ok,490d,2,10,7844,7844,226,133,True
ok,490d,2,12,24035,24035,136,438,True
ok,490d,2,13,42636,42636,109,896,True
ok,490d,2,14,80661,80661,164,530,True
ok,490d,2,15,4906,4906,140,60,True
ok,490d,2,2,2119,2119,56,44,True
ok,490d,2,3,104131,104131,117,749,True
ok,490d,2,4,66987,66987,70,479,True
ok,490d,2,5,17102,17102,93,239,True
ok,490d,2,6,4377,4377,276,61,True
ok,490d,2,8,1836,1836,259,96,True
ok,490d,2,9,18602,18602,223,262,True
ok,490d,3,0,232350,232350,58,1381,True
ok,490d,3,1,30963,30963,77,175,True
ok,490d,3,10,7342,7342,222,133,True
ok,490d,3,12,24411,24411,131,588,True
ok,490d,3,13,39748,39748,106,896,True
ok,490d,3,14,76645,76645,159,515,True
ok,490d,3,15,4810,4810,136,52,True
ok,490d,3,2,2031,2031,55,41,True
ok,490d,3,3,101735,101735,118,860,True
ok,490d,3,4,66648,66648,68,479,True
ok,490d,3,5,17082,17082,90,239,True
ok,490d,3,6,4366,4366,274,61,True
ok,490d,3,8,1883,1883,260,96,True
ok,490d,3,9,18523,18523,223,300,True
ok,490d,4,0,231990,231990,58,1302,True
ok,490d,4,1,30853,30853,77,188,True
ok,490d,4,10,7321,7321,226,133,True
ok,490d,4,12,23044,23044,134,417,True
ok,490d,4,13,39843,39843,106,693,True
ok,490d,4,14,79290,79290,160,622,True
ok,490d,4,15,4736,4736,139,62,True
ok,490d,4,2,1996,1996,55,41,True
ok,490d,4,3,105615,105615,117,860,True
ok,490d,4,4,66537,66537,68,416,True
ok,490d,4,5,16933,16933,90,148,True
ok,490d,4,6,4352,4352,270,61,True
ok,490d,4,8,1706,1706,257,79,True
ok,490d,4,9,17895,17895,220,238,True
ok,490d,5,0,228336,228336,58,1184,True
ok,490d,5,1,30407,30407,77,188,True
ok,490d,5,10,7364,7364,227,101,True
ok,490d,5,12,22874,22874,130,392,True
ok,490d,5,13,41553,41553,106,896,True
ok,490d,5,14,79234,79234,160,588,True
ok,490d,5,15,4949,4949,136,62,True
ok,490d,5,2,1947,1947,57,34,True
ok,490d,5,3,104594,104594,118,717,True
ok,490d,5,4,65742,65742,70,416,True
ok,490d,5,5,17004,17004,93,148,True
ok,490d,5,6,4281,4281,273,42,True
ok,490d,5,8,1764,1764,255,96,True
ok,490d,5,9,18996,18996,223,238,True
aida,5d,1,B_cell,70,70,425,28,True
aida,5d,1,CD14-low__CD16-positive_monocyte,312,312,654,96,True
aida,5d,1,CD14-positive_monocyte,1883,1883,583,632,True
aida,5d,1,CD141-positive_myeloid_dendritic_cell,5,5,408,2,True
aida,5d,1,CD16-negative__CD56-bright_natural_killer_cell__human,44,44,461,32,True
aida,5d,1,CD16-positive__CD56-dim_natural_killer_cell__human,1008,1008,419,356,True
aida,5d,1,CD1c-positive_myeloid_dendritic_cell,110,110,618,33,True
aida,5d,1,CD4-positive__alpha-beta_T_cell,123,123,387,37,True
aida,5d,1,CD4-positive__alpha-beta_cytotoxic_T_cell,138,138,414,52,True
aida,5d,1,CD8-positive__alpha-beta_T_cell,13,13,456,5,True
aida,5d,1,CD8-positive__alpha-beta_cytotoxic_T_cell,772,772,418,372,True
aida,5d,1,CD8-positive__alpha-beta_memory_T_cell,261,261,412,91,True
aida,5d,1,T_cell,161,161,406,65,True
aida,5d,1,central_memory_CD4-positive__alpha-beta_T_cell,681,681,386,175,True
aida,5d,1,double_negative_T_regulatory_cell,4,4,534,2,True
aida,5d,1,effector_memory_CD4-positive__alpha-beta_T_cell,116,116,391,35,True
aida,5d,1,erythrocyte,2,2,412,1,True
aida,5d,1,gamma-delta_T_cell,101,101,413,42,True
aida,5d,1,mature_B_cell,44,44,486,20,True
aida,5d,1,memory_B_cell,208,208,426,95,True
aida,5d,1,monocyte,221,221,624,74,True
aida,5d,1,mucosal_invariant_T_cell,86,86,391,26,True
aida,5d,1,naive_B_cell,121,121,353,54,True
aida,5d,1,naive_thymus-derived_CD4-positive__alpha-beta_T_cell,656,656,319,213,True
aida,5d,1,naive_thymus-derived_CD8-positive__alpha-beta_T_cell,451,451,339,333,True
aida,5d,1,natural_killer_cell,66,66,450,27,True
aida,5d,1,plasma_cell,6,6,225,4,True
aida,5d,1,plasmacytoid_dendritic_cell,22,22,571,14,True
aida,5d,1,platelet,108,108,396,59,True
aida,5d,1,regulatory_T_cell,74,74,387,19,True
aida,5d,2,B_cell,90,90,458,62,True
aida,5d,2,CD14-low__CD16-positive_monocyte,430,430,637,136,True
aida,5d,2,CD14-positive_monocyte,1829,1829,565,473,True
aida,5d,2,CD141-positive_myeloid_dendritic_cell,11,11,457,4,True
aida,5d,2,CD16-negative__CD56-bright_natural_killer_cell__human,39,39,481,12,True
aida,5d,2,CD16-positive__CD56-dim_natural_killer_cell__human,1331,1331,454,590,True
aida,5d,2,CD1c-positive_myeloid_dendritic_cell,144,144,656,45,True
aida,5d,2,CD4-positive__alpha-beta_T_cell,154,154,403,57,True
aida,5d,2,CD4-positive__alpha-beta_cytotoxic_T_cell,91,91,422,58,True
aida,5d,2,CD8-positive__alpha-beta_T_cell,9,9,522,3,True
aida,5d,2,CD8-positive__alpha-beta_cytotoxic_T_cell,416,416,441,183,True
aida,5d,2,CD8-positive__alpha-beta_memory_T_cell,382,382,424,142,True
aida,5d,2,T_cell,110,110,435,64,True
aida,5d,2,central_memory_CD4-positive__alpha-beta_T_cell,1269,1269,408,319,True
aida,5d,2,conventional_dendritic_cell,2,2,541,2,True
aida,5d,2,double_negative_T_regulatory_cell,7,7,384,2,True
aida,5d,2,effector_memory_CD4-positive__alpha-beta_T_cell,238,238,419,66,True
aida,5d,2,erythrocyte,2,2,593,2,True
aida,5d,2,gamma-delta_T_cell,333,333,435,198,True
aida,5d,2,innate_lymphoid_cell,5,5,343,2,True
aida,5d,2,mature_B_cell,39,39,486,12,True
aida,5d,2,memory_B_cell,252,252,470,73,True
aida,5d,2,monocyte,104,104,673,29,True
aida,5d,2,mucosal_invariant_T_cell,206,206,436,86,True
aida,5d,2,naive_B_cell,371,371,386,195,True
aida,5d,2,naive_thymus-derived_CD4-positive__alpha-beta_T_cell,1305,1305,353,545,True
aida,5d,2,naive_thymus-derived_CD8-positive__alpha-beta_T_cell,322,322,372,106,True
aida,5d,2,natural_killer_cell,58,58,478,51,True
aida,5d,2,plasma_cell,12,12,384,8,True
aida,5d,2,plasmacytoid_dendritic_cell,40,40,567,16,True
aida,5d,2,platelet,119,119,451,62,True
aida,5d,2,regulatory_T_cell,98,98,416,24,True
aida,5d,3,B_cell,39,39,449,22,True
aida,5d,3,CD14-low__CD16-positive_monocyte,375,375,641,161,True
aida,5d,3,CD14-positive_monocyte,1725,1725,554,446,True
aida,5d,3,CD141-positive_myeloid_dendritic_cell,6,6,436,3,True
aida,5d,3,CD16-negative__CD56-bright_natural_killer_cell__human,58,58,463,33,True
aida,5d,3,CD16-positive__CD56-dim_natural_killer_cell__human,1643,1643,424,496,True
aida,5d,3,CD1c-positive_myeloid_dendritic_cell,113,113,614,36,True
aida,5d,3,CD4-positive__alpha-beta_T_cell,214,214,398,69,True
aida,5d,3,CD4-positive__alpha-beta_cytotoxic_T_cell,105,105,424,35,True
aida,5d,3,CD8-positive__alpha-beta_T_cell,17,17,377,6,True
aida,5d,3,CD8-positive__alpha-beta_cytotoxic_T_cell,594,594,427,377,True
aida,5d,3,CD8-positive__alpha-beta_memory_T_cell,233,233,425,72,True
aida,5d,3,T_cell,130,130,390,73,True
aida,5d,3,central_memory_CD4-positive__alpha-beta_T_cell,943,943,392,225,True
aida,5d,3,dendritic_cell,2,2,511,1,True
aida,5d,3,double_negative_T_regulatory_cell,4,4,554,2,True
aida,5d,3,effector_memory_CD4-positive__alpha-beta_T_cell,182,182,402,51,True
aida,5d,3,gamma-delta_T_cell,216,216,421,101,True
aida,5d,3,mature_B_cell,23,23,498,8,True
aida,5d,3,memory_B_cell,316,316,448,123,True
aida,5d,3,monocyte,130,130,578,49,True
aida,5d,3,mucosal_invariant_T_cell,145,145,417,38,True
aida,5d,3,naive_B_cell,237,237,383,70,True
aida,5d,3,naive_thymus-derived_CD4-positive__alpha-beta_T_cell,1412,1412,333,499,True
aida,5d,3,naive_thymus-derived_CD8-positive__alpha-beta_T_cell,563,563,355,179,True
aida,5d,3,natural_killer_cell,48,48,472,22,True
aida,5d,3,plasma_cell,20,20,282,8,True
aida,5d,3,plasmacytoid_dendritic_cell,29,29,588,9,True
aida,5d,3,platelet,58,58,431,28,True
aida,5d,3,regulatory_T_cell,100,100,406,36,True
aida,5d,4,B_cell,70,70,402,24,True
