dataset,n_donors,trial,cell_type,n_cells,k_max,n_genes,dp_variant,prefactor,clip_value,delta,epsilon,delta_F,sigma
ok,5d,1,0,2563,570,58,v1,4.0,3.0,1e-05,1,597.1700953336679,2893.172820543116
ok,5d,1,0,2563,570,58,v1,4.0,3.0,1e-05,10,597.1700953336679,289.3172820543116
ok,5d,1,0,2563,570,58,v1,4.0,3.0,1e-05,100,597.1700953336679,28.93172820543116
ok,5d,1,0,2563,570,58,v1,4.0,3.0,1e-05,1000,597.1700953336679,2.893172820543116
ok,5d,1,0,2563,570,58,v1,4.0,3.0,1e-05,10000,597.1700953336679,0.28931728205431156
ok,5d,1,0,2563,570,58,v1,4.0,3.0,1e-05,100000,597.1700953336679,0.02893172820543116
ok,5d,1,0,2563,570,58,v1,4.0,3.0,1e-05,1000000,597.1700953336679,0.002893172820543116
ok,5d,1,0,2563,570,58,v1,4.0,3.0,1e-05,10000000,597.1700953336679,0.0002893172820543116
ok,5d,1,0,2563,570,58,v1,4.0,3.0,1e-05,100000000,597.1700953336679,2.8931728205431158e-05
ok,5d,1,0,2563,570,58,v1,4.0,3.0,1e-05,1000000000,597.1700953336679,2.893172820543116e-06
ok,5d,1,0,2563,570,58,v2,1.0,3.0,1e-05,1,149.29252383341696,723.293205135779
ok,5d,1,0,2563,570,58,v2,1.0,3.0,1e-05,10,149.29252383341696,72.3293205135779
ok,5d,1,0,2563,570,58,v2,1.0,3.0,1e-05,100,149.29252383341696,7.23293205135779
ok,5d,1,0,2563,570,58,v2,1.0,3.0,1e-05,1000,149.29252383341696,0.723293205135779
ok,5d,1,0,2563,570,58,v2,1.0,3.0,1e-05,10000,149.29252383341696,0.07232932051357789
ok,5d,1,0,2563,570,58,v2,1.0,3.0,1e-05,100000,149.29252383341696,0.00723293205135779
ok,5d,1,0,2563,570,58,v2,1.0,3.0,1e-05,1000000,149.29252383341696,0.000723293205135779
ok,5d,1,0,2563,570,58,v2,1.0,3.0,1e-05,10000000,149.29252383341696,7.23293205135779e-05
