dataset,n_donors,trial,cell_type,n_cells,k_max,n_genes,dp_variant,prefactor,clip_value,delta,epsilon,delta_F,sigma
ok,5d,1,0,2563,570,58,v2,1.0,3.0,1e-05,100000000,149.29252383341696,7.232932051357789e-06
ok,5d,1,0,2563,570,58,v2,1.0,3.0,1e-05,1000000000,149.29252383341696,7.23293205135779e-07
ok,5d,1,1,250,78,74,v1,4.0,3.0,1e-05,1,1208.093023255814,5852.975436786622
ok,5d,1,1,250,78,74,v1,4.0,3.0,1e-05,10,1208.093023255814,585.2975436786621
ok,5d,1,1,250,78,74,v1,4.0,3.0,1e-05,100,1208.093023255814,58.52975436786622
ok,5d,1,1,250,78,74,v1,4.0,3.0,1e-05,1000,1208.093023255814,5.852975436786622
ok,5d,1,1,250,78,74,v1,4.0,3.0,1e-05,10000,1208.093023255814,0.5852975436786622
ok,5d,1,1,250,78,74,v1,4.0,3.0,1e-05,100000,1208.093023255814,0.05852975436786622
ok,5d,1,1,250,78,74,v1,4.0,3.0,1e-05,1000000,1208.093023255814,0.0058529754367866215
ok,5d,1,1,250,78,74,v1,4.0,3.0,1e-05,10000000,1208.093023255814,0.0005852975436786621
ok,5d,1,1,250,78,74,v1,4.0,3.0,1e-05,100000000,1208.093023255814,5.852975436786622e-05
ok,5d,1,1,250,78,74,v1,4.0,3.0,1e-05,1000000000,1208.093023255814,5.852975436786622e-06
ok,5d,1,1,250,78,74,v2,1.0,3.0,1e-05,1,302.0232558139535,1463.2438591966554
ok,5d,1,1,250,78,74,v2,1.0,3.0,1e-05,10,302.0232558139535,146.32438591966553
ok,5d,1,1,250,78,74,v2,1.0,3.0,1e-05,100,302.0232558139535,14.632438591966554
ok,5d,1,1,250,78,74,v2,1.0,3.0,1e-05,1000,302.0232558139535,1.4632438591966554
ok,5d,1,1,250,78,74,v2,1.0,3.0,1e-05,10000,302.0232558139535,0.14632438591966554
ok,5d,1,1,250,78,74,v2,1.0,3.0,1e-05,100000,302.0232558139535,0.014632438591966555
ok,5d,1,1,250,78,74,v2,1.0,3.0,1e-05,1000000,302.0232558139535,0.0014632438591966554
ok,5d,1,1,250,78,74,v2,1.0,3.0,1e-05,10000000,302.0232558139535,0.00014632438591966553
ok,5d,1,1,250,78,74,v2,1.0,3.0,1e-05,100000000,302.0232558139535,1.4632438591966554e-05
ok,5d,1,1,250,78,74,v2,1.0,3.0,1e-05,1000000000,302.0232558139535,1.4632438591966554e-06
ok,5d,1,10,44,25,266,v1,4.0,3.0,1e-05,1,12600.0,61044.5463088279
ok,5d,1,10,44,25,266,v1,4.0,3.0,1e-05,10,12600.0,6104.45463088279
ok,5d,1,10,44,25,266,v1,4.0,3.0,1e-05,100,12600.0,610.445463088279
ok,5d,1,10,44,25,266,v1,4.0,3.0,1e-05,1000,12600.0,61.0445463088279
ok,5d,1,10,44,25,266,v1,4.0,3.0,1e-05,10000,12600.0,6.10445463088279
ok,5d,1,10,44,25,266,v1,4.0,3.0,1e-05,100000,12600.0,0.610445463088279
ok,5d,1,10,44,25,266,v1,4.0,3.0,1e-05,1000000,12600.0,0.0610445463088279
ok,5d,1,10,44,25,266,v1,4.0,3.0,1e-05,10000000,12600.0,0.00610445463088279
ok,5d,1,10,44,25,266,v1,4.0,3.0,1e-05,100000000,12600.0,0.000610445463088279
ok,5d,1,10,44,25,266,v1,4.0,3.0,1e-05,1000000000,12600.0,6.10445463088279e-05
ok,5d,1,10,44,25,266,v2,1.0,3.0,1e-05,1,3150.0,15261.136577206975
ok,5d,1,10,44,25,266,v2,1.0,3.0,1e-05,10,3150.0,1526.1136577206976
ok,5d,1,10,44,25,266,v2,1.0,3.0,1e-05,100,3150.0,152.61136577206975
ok,5d,1,10,44,25,266,v2,1.0,3.0,1e-05,1000,3150.0,15.261136577206974
ok,5d,1,10,44,25,266,v2,1.0,3.0,1e-05,10000,3150.0,1.5261136577206975
ok,5d,1,10,44,25,266,v2,1.0,3.0,1e-05,100000,3150.0,0.15261136577206974
ok,5d,1,10,44,25,266,v2,1.0,3.0,1e-05,1000000,3150.0,0.015261136577206975
ok,5d,1,10,44,25,266,v2,1.0,3.0,1e-05,10000000,3150.0,0.0015261136577206975
ok,5d,1,10,44,25,266,v2,1.0,3.0,1e-05,100000000,3150.0,0.00015261136577206976
ok,5d,1,10,44,25,266,v2,1.0,3.0,1e-05,1000000000,3150.0,1.5261136577206974e-05
ok,5d,1,12,250,114,135,v1,4.0,3.0,1e-05,1,4073.823529411765,19736.881674219778
ok,5d,1,12,250,114,135,v1,4.0,3.0,1e-05,10,4073.823529411765,1973.6881674219778
ok,5d,1,12,250,114,135,v1,4.0,3.0,1e-05,100,4073.823529411765,197.36881674219777
ok,5d,1,12,250,114,135,v1,4.0,3.0,1e-05,1000,4073.823529411765,19.736881674219777
ok,5d,1,12,250,114,135,v1,4.0,3.0,1e-05,10000,4073.823529411765,1.9736881674219777
ok,5d,1,12,250,114,135,v1,4.0,3.0,1e-05,100000,4073.823529411765,0.19736881674219778
ok,5d,1,12,250,114,135,v1,4.0,3.0,1e-05,1000000,4073.823529411765,0.01973688167421978
ok,5d,1,12,250,114,135,v1,4.0,3.0,1e-05,10000000,4073.823529411765,0.0019736881674219777
ok,5d,1,12,250,114,135,v1,4.0,3.0,1e-05,100000000,4073.823529411765,0.00019736881674219778
ok,5d,1,12,250,114,135,v1,4.0,3.0,1e-05,1000000000,4073.823529411765,1.9736881674219776e-05
ok,5d,1,12,250,114,135,v2,1.0,3.0,1e-05,1,1018.4558823529412,4934.220418554944
ok,5d,1,12,250,114,135,v2,1.0,3.0,1e-05,10,1018.4558823529412,493.42204185549446
ok,5d,1,12,250,114,135,v2,1.0,3.0,1e-05,100,1018.4558823529412,49.34220418554944
ok,5d,1,12,250,114,135,v2,1.0,3.0,1e-05,1000,1018.4558823529412,4.934220418554944
ok,5d,1,12,250,114,135,v2,1.0,3.0,1e-05,10000,1018.4558823529412,0.49342204185549443
ok,5d,1,12,250,114,135,v2,1.0,3.0,1e-05,100000,1018.4558823529412,0.049342204185549444
ok,5d,1,12,250,114,135,v2,1.0,3.0,1e-05,1000000,1018.4558823529412,0.004934220418554945
ok,5d,1,12,250,114,135,v2,1.0,3.0,1e-05,10000000,1018.4558823529412,0.0004934220418554944
ok,5d,1,12,250,114,135,v2,1.0,3.0,1e-05,100000000,1018.4558823529412,4.9342204185549446e-05
ok,5d,1,12,250,114,135,v2,1.0,3.0,1e-05,1000000000,1018.4558823529412,4.934220418554944e-06
ok,5d,1,13,398,148,113,v1,4.0,3.0,1e-05,1,2408.256,11667.531342501003
ok,5d,1,13,398,148,113,v1,4.0,3.0,1e-05,10,2408.256,1166.7531342501002
ok,5d,1,13,398,148,113,v1,4.0,3.0,1e-05,100,2408.256,116.67531342501003
ok,5d,1,13,398,148,113,v1,4.0,3.0,1e-05,1000,2408.256,11.667531342501002
ok,5d,1,13,398,148,113,v1,4.0,3.0,1e-05,10000,2408.256,1.1667531342501003
ok,5d,1,13,398,148,113,v1,4.0,3.0,1e-05,100000,2408.256,0.11667531342501003
ok,5d,1,13,398,148,113,v1,4.0,3.0,1e-05,1000000,2408.256,0.011667531342501003
ok,5d,1,13,398,148,113,v1,4.0,3.0,1e-05,10000000,2408.256,0.0011667531342501002
ok,5d,1,13,398,148,113,v1,4.0,3.0,1e-05,100000000,2408.256,0.00011667531342501003
ok,5d,1,13,398,148,113,v1,4.0,3.0,1e-05,1000000000,2408.256,1.1667531342501002e-05
ok,5d,1,13,398,148,113,v2,1.0,3.0,1e-05,1,602.064,2916.8828356252507
ok,5d,1,13,398,148,113,v2,1.0,3.0,1e-05,10,602.064,291.68828356252504
ok,5d,1,13,398,148,113,v2,1.0,3.0,1e-05,100,602.064,29.168828356252508
ok,5d,1,13,398,148,113,v2,1.0,3.0,1e-05,1000,602.064,2.9168828356252505
ok,5d,1,13,398,148,113,v2,1.0,3.0,1e-05,10000,602.064,0.2916882835625251
ok,5d,1,13,398,148,113,v2,1.0,3.0,1e-05,100000,602.064,0.029168828356252507
ok,5d,1,13,398,148,113,v2,1.0,3.0,1e-05,1000000,602.064,0.002916882835625251
ok,5d,1,13,398,148,113,v2,1.0,3.0,1e-05,10000000,602.064,0.00029168828356252504
ok,5d,1,13,398,148,113,v2,1.0,3.0,1e-05,100000000,602.064,2.9168828356252507e-05
ok,5d,1,13,398,148,113,v2,1.0,3.0,1e-05,1000000000,602.064,2.9168828356252506e-06
ok,5d,1,14,1028,442,167,v1,4.0,3.0,1e-05,1,4534.648464163823,21969.488743246333
ok,5d,1,14,1028,442,167,v1,4.0,3.0,1e-05,10,4534.648464163823,2196.9488743246334
ok,5d,1,14,1028,442,167,v1,4.0,3.0,1e-05,100,4534.648464163823,219.69488743246333
ok,5d,1,14,1028,442,167,v1,4.0,3.0,1e-05,1000,4534.648464163823,21.969488743246334
ok,5d,1,14,1028,442,167,v1,4.0,3.0,1e-05,10000,4534.648464163823,2.1969488743246335
ok,5d,1,14,1028,442,167,v1,4.0,3.0,1e-05,100000,4534.648464163823,0.21969488743246332
ok,5d,1,14,1028,442,167,v1,4.0,3.0,1e-05,1000000,4534.648464163823,0.02196948874324633
ok,5d,1,14,1028,442,167,v1,4.0,3.0,1e-05,10000000,4534.648464163823,0.0021969488743246333
ok,5d,1,14,1028,442,167,v1,4.0,3.0,1e-05,100000000,4534.648464163823,0.00021969488743246333
ok,5d,1,14,1028,442,167,v1,4.0,3.0,1e-05,1000000000,4534.648464163823,2.1969488743246333e-05
ok,5d,1,14,1028,442,167,v2,1.0,3.0,1e-05,1,1133.6621160409557,5492.372185811583
ok,5d,1,14,1028,442,167,v2,1.0,3.0,1e-05,10,1133.6621160409557,549.2372185811583
ok,5d,1,14,1028,442,167,v2,1.0,3.0,1e-05,100,1133.6621160409557,54.92372185811583
ok,5d,1,14,1028,442,167,v2,1.0,3.0,1e-05,1000,1133.6621160409557,5.4923721858115835
ok,5d,1,14,1028,442,167,v2,1.0,3.0,1e-05,10000,1133.6621160409557,0.5492372185811584
ok,5d,1,14,1028,442,167,v2,1.0,3.0,1e-05,100000,1133.6621160409557,0.05492372185811583
ok,5d,1,14,1028,442,167,v2,1.0,3.0,1e-05,1000000,1133.6621160409557,0.005492372185811583
ok,5d,1,14,1028,442,167,v2,1.0,3.0,1e-05,10000000,1133.6621160409557,0.0005492372185811583
ok,5d,1,14,1028,442,167,v2,1.0,3.0,1e-05,100000000,1133.6621160409557,5.492372185811583e-05
ok,5d,1,14,1028,442,167,v2,1.0,3.0,1e-05,1000000000,1133.6621160409557,5.492372185811583e-06
ok,5d,1,15,38,12,170,v1,4.0,3.0,1e-05,1,2824.6153846153848,13684.711480220762
ok,5d,1,15,38,12,170,v1,4.0,3.0,1e-05,10,2824.6153846153848,1368.4711480220762
ok,5d,1,15,38,12,170,v1,4.0,3.0,1e-05,100,2824.6153846153848,136.8471148022076
ok,5d,1,15,38,12,170,v1,4.0,3.0,1e-05,1000,2824.6153846153848,13.684711480220761
ok,5d,1,15,38,12,170,v1,4.0,3.0,1e-05,10000,2824.6153846153848,1.3684711480220761
ok,5d,1,15,38,12,170,v1,4.0,3.0,1e-05,100000,2824.6153846153848,0.13684711480220763
ok,5d,1,15,38,12,170,v1,4.0,3.0,1e-05,1000000,2824.6153846153848,0.013684711480220761
ok,5d,1,15,38,12,170,v1,4.0,3.0,1e-05,10000000,2824.6153846153848,0.0013684711480220762
ok,5d,1,15,38,12,170,v1,4.0,3.0,1e-05,100000000,2824.6153846153848,0.00013684711480220762
ok,5d,1,15,38,12,170,v1,4.0,3.0,1e-05,1000000000,2824.6153846153848,1.3684711480220762e-05
ok,5d,1,15,38,12,170,v2,1.0,3.0,1e-05,1,706.1538461538462,3421.1778700551904
ok,5d,1,15,38,12,170,v2,1.0,3.0,1e-05,10,706.1538461538462,342.11778700551906
ok,5d,1,15,38,12,170,v2,1.0,3.0,1e-05,100,706.1538461538462,34.2117787005519
ok,5d,1,15,38,12,170,v2,1.0,3.0,1e-05,1000,706.1538461538462,3.4211778700551903
ok,5d,1,15,38,12,170,v2,1.0,3.0,1e-05,10000,706.1538461538462,0.34211778700551904
ok,5d,1,15,38,12,170,v2,1.0,3.0,1e-05,100000,706.1538461538462,0.034211778700551906
ok,5d,1,15,38,12,170,v2,1.0,3.0,1e-05,1000000,706.1538461538462,0.0034211778700551903
ok,5d,1,15,38,12,170,v2,1.0,3.0,1e-05,10000000,706.1538461538462,0.00034211778700551904
ok,5d,1,15,38,12,170,v2,1.0,3.0,1e-05,100000000,706.1538461538462,3.4211778700551904e-05
ok,5d,1,15,38,12,170,v2,1.0,3.0,1e-05,1000000000,706.1538461538462,3.4211778700551905e-06
ok,5d,1,2,10,5,87,v1,4.0,3.0,1e-05,1,3132.0,15173.930082480078
ok,5d,1,2,10,5,87,v1,4.0,3.0,1e-05,10,3132.0,1517.3930082480078
ok,5d,1,2,10,5,87,v1,4.0,3.0,1e-05,100,3132.0,151.73930082480078
ok,5d,1,2,10,5,87,v1,4.0,3.0,1e-05,1000,3132.0,15.173930082480078
ok,5d,1,2,10,5,87,v1,4.0,3.0,1e-05,10000,3132.0,1.5173930082480078
ok,5d,1,2,10,5,87,v1,4.0,3.0,1e-05,100000,3132.0,0.15173930082480078
ok,5d,1,2,10,5,87,v1,4.0,3.0,1e-05,1000000,3132.0,0.015173930082480077
ok,5d,1,2,10,5,87,v1,4.0,3.0,1e-05,10000000,3132.0,0.0015173930082480077
ok,5d,1,2,10,5,87,v1,4.0,3.0,1e-05,100000000,3132.0,0.00015173930082480077
ok,5d,1,2,10,5,87,v1,4.0,3.0,1e-05,1000000000,3132.0,1.5173930082480078e-05
ok,5d,1,2,10,5,87,v2,1.0,3.0,1e-05,1,783.0,3793.4825206200194
ok,5d,1,2,10,5,87,v2,1.0,3.0,1e-05,10,783.0,379.34825206200196
ok,5d,1,2,10,5,87,v2,1.0,3.0,1e-05,100,783.0,37.934825206200195
ok,5d,1,2,10,5,87,v2,1.0,3.0,1e-05,1000,783.0,3.7934825206200196
ok,5d,1,2,10,5,87,v2,1.0,3.0,1e-05,10000,783.0,0.37934825206200196
ok,5d,1,2,10,5,87,v2,1.0,3.0,1e-05,100000,783.0,0.037934825206200194
ok,5d,1,2,10,5,87,v2,1.0,3.0,1e-05,1000000,783.0,0.0037934825206200192
ok,5d,1,2,10,5,87,v2,1.0,3.0,1e-05,10000000,783.0,0.0003793482520620019
ok,5d,1,2,10,5,87,v2,1.0,3.0,1e-05,100000000,783.0,3.793482520620019e-05
ok,5d,1,2,10,5,87,v2,1.0,3.0,1e-05,1000000000,783.0,3.7934825206200195e-06
ok,5d,1,3,1026,310,125,v1,4.0,3.0,1e-05,1,1948.3240223463688,9439.250476724186
ok,5d,1,3,1026,310,125,v1,4.0,3.0,1e-05,10,1948.3240223463688,943.9250476724186
ok,5d,1,3,1026,310,125,v1,4.0,3.0,1e-05,100,1948.3240223463688,94.39250476724186
ok,5d,1,3,1026,310,125,v1,4.0,3.0,1e-05,1000,1948.3240223463688,9.439250476724187
ok,5d,1,3,1026,310,125,v1,4.0,3.0,1e-05,10000,1948.3240223463688,0.9439250476724186
ok,5d,1,3,1026,310,125,v1,4.0,3.0,1e-05,100000,1948.3240223463688,0.09439250476724186
ok,5d,1,3,1026,310,125,v1,4.0,3.0,1e-05,1000000,1948.3240223463688,0.009439250476724186
ok,5d,1,3,1026,310,125,v1,4.0,3.0,1e-05,10000000,1948.3240223463688,0.0009439250476724186
ok,5d,1,3,1026,310,125,v1,4.0,3.0,1e-05,100000000,1948.3240223463688,9.439250476724187e-05
ok,5d,1,3,1026,310,125,v1,4.0,3.0,1e-05,1000000000,1948.3240223463688,9.439250476724186e-06
ok,5d,1,3,1026,310,125,v2,1.0,3.0,1e-05,1,487.0810055865922,2359.8126191810466
ok,5d,1,3,1026,310,125,v2,1.0,3.0,1e-05,10,487.0810055865922,235.98126191810465
ok,5d,1,3,1026,310,125,v2,1.0,3.0,1e-05,100,487.0810055865922,23.598126191810465
ok,5d,1,3,1026,310,125,v2,1.0,3.0,1e-05,1000,487.0810055865922,2.3598126191810467
ok,5d,1,3,1026,310,125,v2,1.0,3.0,1e-05,10000,487.0810055865922,0.23598126191810465
ok,5d,1,3,1026,310,125,v2,1.0,3.0,1e-05,100000,487.0810055865922,0.023598126191810464
ok,5d,1,3,1026,310,125,v2,1.0,3.0,1e-05,1000000,487.0810055865922,0.0023598126191810465
ok,5d,1,3,1026,310,125,v2,1.0,3.0,1e-05,10000000,487.0810055865922,0.00023598126191810465
ok,5d,1,3,1026,310,125,v2,1.0,3.0,1e-05,100000000,487.0810055865922,2.3598126191810467e-05
ok,5d,1,3,1026,310,125,v2,1.0,3.0,1e-05,1000000000,487.0810055865922,2.3598126191810465e-06
ok,5d,1,4,650,162,67,v1,4.0,3.0,1e-05,1,800.7049180327868,3879.2594006792624
ok,5d,1,4,650,162,67,v1,4.0,3.0,1e-05,10,800.7049180327868,387.92594006792626
ok,5d,1,4,650,162,67,v1,4.0,3.0,1e-05,100,800.7049180327868,38.792594006792626
ok,5d,1,4,650,162,67,v1,4.0,3.0,1e-05,1000,800.7049180327868,3.8792594006792624
ok,5d,1,4,650,162,67,v1,4.0,3.0,1e-05,10000,800.7049180327868,0.38792594006792624
ok,5d,1,4,650,162,67,v1,4.0,3.0,1e-05,100000,800.7049180327868,0.03879259400679262
ok,5d,1,4,650,162,67,v1,4.0,3.0,1e-05,1000000,800.7049180327868,0.0038792594006792623
ok,5d,1,4,650,162,67,v1,4.0,3.0,1e-05,10000000,800.7049180327868,0.00038792594006792624
ok,5d,1,4,650,162,67,v1,4.0,3.0,1e-05,100000000,800.7049180327868,3.8792594006792624e-05
ok,5d,1,4,650,162,67,v1,4.0,3.0,1e-05,1000000000,800.7049180327868,3.879259400679262e-06
ok,5d,1,4,650,162,67,v2,1.0,3.0,1e-05,1,200.1762295081967,969.8148501698156
ok,5d,1,4,650,162,67,v2,1.0,3.0,1e-05,10,200.1762295081967,96.98148501698157
ok,5d,1,4,650,162,67,v2,1.0,3.0,1e-05,100,200.1762295081967,9.698148501698157
ok,5d,1,4,650,162,67,v2,1.0,3.0,1e-05,1000,200.1762295081967,0.9698148501698156
ok,5d,1,4,650,162,67,v2,1.0,3.0,1e-05,10000,200.1762295081967,0.09698148501698156
ok,5d,1,4,650,162,67,v2,1.0,3.0,1e-05,100000,200.1762295081967,0.009698148501698155
ok,5d,1,4,650,162,67,v2,1.0,3.0,1e-05,1000000,200.1762295081967,0.0009698148501698156
ok,5d,1,4,650,162,67,v2,1.0,3.0,1e-05,10000000,200.1762295081967,9.698148501698156e-05
ok,5d,1,4,650,162,67,v2,1.0,3.0,1e-05,100000000,200.1762295081967,9.698148501698156e-06
ok,5d,1,4,650,162,67,v2,1.0,3.0,1e-05,1000000000,200.1762295081967,9.698148501698156e-07
ok,5d,1,5,65,30,102,v1,4.0,3.0,1e-05,1,3147.4285714285716,15248.678506531705
ok,5d,1,5,65,30,102,v1,4.0,3.0,1e-05,10,3147.4285714285716,1524.8678506531705
ok,5d,1,5,65,30,102,v1,4.0,3.0,1e-05,100,3147.4285714285716,152.48678506531706
ok,5d,1,5,65,30,102,v1,4.0,3.0,1e-05,1000,3147.4285714285716,15.248678506531705
ok,5d,1,5,65,30,102,v1,4.0,3.0,1e-05,10000,3147.4285714285716,1.5248678506531705
ok,5d,1,5,65,30,102,v1,4.0,3.0,1e-05,100000,3147.4285714285716,0.15248678506531704
ok,5d,1,5,65,30,102,v1,4.0,3.0,1e-05,1000000,3147.4285714285716,0.015248678506531705
ok,5d,1,5,65,30,102,v1,4.0,3.0,1e-05,10000000,3147.4285714285716,0.0015248678506531706
ok,5d,1,5,65,30,102,v1,4.0,3.0,1e-05,100000000,3147.4285714285716,0.00015248678506531705
ok,5d,1,5,65,30,102,v1,4.0,3.0,1e-05,1000000000,3147.4285714285716,1.5248678506531705e-05
ok,5d,1,5,65,30,102,v2,1.0,3.0,1e-05,1,786.8571428571429,3812.1696266329263
ok,5d,1,5,65,30,102,v2,1.0,3.0,1e-05,10,786.8571428571429,381.21696266329263
ok,5d,1,5,65,30,102,v2,1.0,3.0,1e-05,100,786.8571428571429,38.121696266329266
ok,5d,1,5,65,30,102,v2,1.0,3.0,1e-05,1000,786.8571428571429,3.8121696266329264
ok,5d,1,5,65,30,102,v2,1.0,3.0,1e-05,10000,786.8571428571429,0.38121696266329264
ok,5d,1,5,65,30,102,v2,1.0,3.0,1e-05,100000,786.8571428571429,0.03812169626632926
ok,5d,1,5,65,30,102,v2,1.0,3.0,1e-05,1000000,786.8571428571429,0.0038121696266329263
ok,5d,1,5,65,30,102,v2,1.0,3.0,1e-05,10000000,786.8571428571429,0.00038121696266329264
ok,5d,1,5,65,30,102,v2,1.0,3.0,1e-05,100000000,786.8571428571429,3.812169626632926e-05
ok,5d,1,5,65,30,102,v2,1.0,3.0,1e-05,1000000000,786.8571428571429,3.812169626632926e-06
ok,5d,1,6,40,14,275,v1,4.0,3.0,1e-05,1,5330.7692307692305,25826.53882296565
ok,5d,1,6,40,14,275,v1,4.0,3.0,1e-05,10,5330.7692307692305,2582.653882296565
ok,5d,1,6,40,14,275,v1,4.0,3.0,1e-05,100,5330.7692307692305,258.2653882296565
ok,5d,1,6,40,14,275,v1,4.0,3.0,1e-05,1000,5330.7692307692305,25.82653882296565
ok,5d,1,6,40,14,275,v1,4.0,3.0,1e-05,10000,5330.7692307692305,2.582653882296565
ok,5d,1,6,40,14,275,v1,4.0,3.0,1e-05,100000,5330.7692307692305,0.2582653882296565
ok,5d,1,6,40,14,275,v1,4.0,3.0,1e-05,1000000,5330.7692307692305,0.02582653882296565
ok,5d,1,6,40,14,275,v1,4.0,3.0,1e-05,10000000,5330.7692307692305,0.002582653882296565
ok,5d,1,6,40,14,275,v1,4.0,3.0,1e-05,100000000,5330.7692307692305,0.00025826538822965647
ok,5d,1,6,40,14,275,v1,4.0,3.0,1e-05,1000000000,5330.7692307692305,2.582653882296565e-05
ok,5d,1,6,40,14,275,v2,1.0,3.0,1e-05,1,1332.6923076923076,6456.634705741412
ok,5d,1,6,40,14,275,v2,1.0,3.0,1e-05,10,1332.6923076923076,645.6634705741412
ok,5d,1,6,40,14,275,v2,1.0,3.0,1e-05,100,1332.6923076923076,64.56634705741412
ok,5d,1,6,40,14,275,v2,1.0,3.0,1e-05,1000,1332.6923076923076,6.456634705741412
ok,5d,1,6,40,14,275,v2,1.0,3.0,1e-05,10000,1332.6923076923076,0.6456634705741412
ok,5d,1,6,40,14,275,v2,1.0,3.0,1e-05,100000,1332.6923076923076,0.06456634705741413
ok,5d,1,6,40,14,275,v2,1.0,3.0,1e-05,1000000,1332.6923076923076,0.0064566347057414125
ok,5d,1,6,40,14,275,v2,1.0,3.0,1e-05,10000000,1332.6923076923076,0.0006456634705741413
ok,5d,1,6,40,14,275,v2,1.0,3.0,1e-05,100000000,1332.6923076923076,6.456634705741412e-05
ok,5d,1,6,40,14,275,v2,1.0,3.0,1e-05,1000000000,1332.6923076923076,6.456634705741412e-06
ok,5d,1,8,11,5,252,v1,4.0,3.0,1e-05,1,7560.0,36626.72778529674
ok,5d,1,8,11,5,252,v1,4.0,3.0,1e-05,10,7560.0,3662.672778529674
ok,5d,1,8,11,5,252,v1,4.0,3.0,1e-05,100,7560.0,366.26727785296737
ok,5d,1,8,11,5,252,v1,4.0,3.0,1e-05,1000,7560.0,36.62672778529674
ok,5d,1,8,11,5,252,v1,4.0,3.0,1e-05,10000,7560.0,3.6626727785296738
ok,5d,1,8,11,5,252,v1,4.0,3.0,1e-05,100000,7560.0,0.36626727785296737
ok,5d,1,8,11,5,252,v1,4.0,3.0,1e-05,1000000,7560.0,0.036626727785296735
ok,5d,1,8,11,5,252,v1,4.0,3.0,1e-05,10000000,7560.0,0.003662672778529674
ok,5d,1,8,11,5,252,v1,4.0,3.0,1e-05,100000000,7560.0,0.0003662672778529674
ok,5d,1,8,11,5,252,v1,4.0,3.0,1e-05,1000000000,7560.0,3.662672778529674e-05
ok,5d,1,8,11,5,252,v2,1.0,3.0,1e-05,1,1890.0,9156.681946324185
ok,5d,1,8,11,5,252,v2,1.0,3.0,1e-05,10,1890.0,915.6681946324185
ok,5d,1,8,11,5,252,v2,1.0,3.0,1e-05,100,1890.0,91.56681946324184
ok,5d,1,8,11,5,252,v2,1.0,3.0,1e-05,1000,1890.0,9.156681946324184
ok,5d,1,8,11,5,252,v2,1.0,3.0,1e-05,10000,1890.0,0.9156681946324184
ok,5d,1,8,11,5,252,v2,1.0,3.0,1e-05,100000,1890.0,0.09156681946324184
ok,5d,1,8,11,5,252,v2,1.0,3.0,1e-05,1000000,1890.0,0.009156681946324184
ok,5d,1,8,11,5,252,v2,1.0,3.0,1e-05,10000000,1890.0,0.0009156681946324185
ok,5d,1,8,11,5,252,v2,1.0,3.0,1e-05,100000000,1890.0,9.156681946324185e-05
ok,5d,1,8,11,5,252,v2,1.0,3.0,1e-05,1000000000,1890.0,9.156681946324185e-06
ok,5d,1,9,79,27,230,v1,4.0,3.0,1e-05,1,4299.2307692307695,20828.935855924246
ok,5d,1,9,79,27,230,v1,4.0,3.0,1e-05,10,4299.2307692307695,2082.8935855924246
ok,5d,1,9,79,27,230,v1,4.0,3.0,1e-05,100,4299.2307692307695,208.28935855924246
ok,5d,1,9,79,27,230,v1,4.0,3.0,1e-05,1000,4299.2307692307695,20.828935855924247
ok,5d,1,9,79,27,230,v1,4.0,3.0,1e-05,10000,4299.2307692307695,2.0828935855924247
ok,5d,1,9,79,27,230,v1,4.0,3.0,1e-05,100000,4299.2307692307695,0.20828935855924247
ok,5d,1,9,79,27,230,v1,4.0,3.0,1e-05,1000000,4299.2307692307695,0.020828935855924248
