,highly_variable
MIR1302-10,False
RP11-34P13.7,False
RP11-34P13.8,False
AL627309.1,False
RP11-34P13.9,False
AP006222.2,False
RP4-669L17.10,False
RP5-857K21.1,False
RP5-857K21.3,False
RP5-857K21.4,False
RP11-206L10.3,False
RP11-206L10.5,False
RP11-206L10.4,False
RP11-206L10.2,False
RP11-206L10.9,False
FAM87B,False
LINC00115,False
FAM41C,False
RP11-54O7.16,False
RP11-54O7.1,False
RP11-54O7.2,False
SAMD11,False
NOC2L,False
KLHL17,False
PLEKHN1,False
C1orf170,False
RP11-54O7.17,False
HES4,True
RP11-54O7.11,False
ISG15,True
AGRN,False
RP11-54O7.18,False
RNF223,False
C1orf159,False
RP11-465B22.5,False
RP11-465B22.8,False
TTLL10-AS1,False
TTLL10,False
TNFRSF18,True
TNFRSF4,True
SDF4,False
B3GALT6,False
FAM132A,False
RP5-902P8.12,False
UBE2J2,False
RP5-902P8.10,False
SCNN1D,False
ACAP3,False
PUSL1,False
CPSF3L,False
GLTPD1,False
TAS1R3,False
DVL1,False
MXRA8,False
AURKAIP1,False
CCNL2,False
RP4-758J18.2,False
MRPL20,False
RP4-758J18.13,False
ANKRD65,False
RP4-758J18.10,False
VWA1,False
ATAD3C,False
ATAD3B,False
ATAD3A,False
TMEM240,False
SSU72,False
AL645728.1,False
C1orf233,False
RP11-345P4.9,False
MIB2,True
MMP23B,True
CDK11B,False
RP11-345P4.10,False
SLC35E2B,False
RP11-345P4.7,False
CDK11A,False
SLC35E2,False
NADK,False
GNB1,False
RP1-140A9.1,False
CALML6,False
TMEM52,False
C1orf222,False
RP11-547D24.1,False
GABRD,False
RP11-547D24.3,False
PRKCZ,False
RP5-892K4.1,False
RP11-181G12.2,False
C1orf86,False
AL590822.2,False
AL590822.1,False
RP11-181G12.4,False
SKI,False
MORN1,False
AL589739.1,False
RER1,False
PEX10,False
PLCH2,False
RP3-395M20.2,False
RP3-395M20.3,False
PANK4,False
HES5,False
RP3-395M20.12,False
TNFRSF14,False
RP3-395M20.7,False
RP3-395M20.9,False
FAM213B,False
MMEL1,False
RP13-436F16.1,False
TTC34,False
LINC00982,False
PRDM16,False
RP11-22L13.1,False
ARHGEF16,False
MEGF6,False
RP11-46F15.2,False
TPRG1L,False
WRAP73,False
TP73,False
RP5-1092A11.5,False
TP73-AS1,False
SMIM1,False
LRRC47,False
RP1-286D6.5,False
CEP104,False
DFFB,False
C1orf174,False
LINC01134,False
AJAP1,False
RP11-154H17.1,False
NPHP4,False
KCNAB2,False
CHD5,False
RPL22,False
RP1-120G22.11,False
RNF207,False
ICMT,False
LINC00337,False
GPR153,False
ACOT7,False
RP1-202O8.3,False
HES2,False
ESPN,False
