dataset,nd,variant,n_trials,enh_mean,enh_std,std_mean,std_std
ok,2,disjoint,5,0.9,0.20000000000000004,0.55,0.09999999999999999
ok,2,overlap,5,1.0,0.0,0.65,0.2
ok,5,disjoint,5,0.8879999999999999,0.11142710621747293,0.48,0.15388307249337077
ok,5,overlap,5,0.976,0.04799999999999995,0.9119999999999999,0.06399999999999996
ok,10,disjoint,5,0.7120000000000001,0.12967652061957863,0.502,0.131057239403247
ok,10,overlap,5,0.958,0.06997142273814358,0.9099999999999999,0.07999999999999999
ok,20,disjoint,5,0.624,0.07163448890024972,0.5365,0.057240719771854735
ok,20,overlap,5,0.9935,0.006244997998398393,0.8629999999999999,0.02604803255526226
ok,50,disjoint,5,0.65032,0.036240441498414426,0.58552,0.020426492601521216
ok,50,overlap,5,0.9776,0.03314646285804868,0.81232,0.038060499208497
ok,100,disjoint,5,0.55962,0.05147820509691456,0.52702,0.04282426415012876
ok,100,overlap,5,0.9112,0.06289111224966525,0.6691200000000002,0.042242698777421914
ok,200,disjoint,5,0.5406799999999999,0.017110065750896467,0.5191899999999999,0.025753730797692245
ok,200,overlap,5,0.751575,0.015037885489655779,0.618815,0.02577243973705245
aida,2,disjoint,5,0.85,0.3,0.5,0.27386127875258304
aida,2,overlap,5,1.0,0.0,0.0,0.0
aida,5,disjoint,5,0.8379999999999999,0.1833466661818534,0.616,0.20333224043422135
aida,5,overlap,5,0.944,0.07838367176906168,0.0,0.0
aida,10,disjoint,5,0.8240000000000001,0.13305637902783918,0.6839999999999999,0.06086049621881174
aida,10,overlap,5,0.99,0.020000000000000018,0.484,0.07914543574963749
aida,20,disjoint,5,0.7257603878116343,0.10661198196053998,0.6887063711911358,0.05543254738132382
aida,20,overlap,5,0.9924459833795014,0.0103427029821113,0.9660277008310251,0.02460927960650942
aida,50,disjoint,5,0.626306003054283,0.04828119599923503,0.5642321560460919,0.05380581614840753
aida,50,overlap,5,0.9952,0.009600000000000008,1.0,0.0
aida,100,disjoint,5,0.5888397719203997,0.034908158413805374,0.5764195023050542,0.02678423256614267
aida,100,overlap,5,0.995071892393321,0.006448247303037143,0.9999583333333334,8.333333333334635e-05
cg,2,disjoint,5,0.7,0.2449489742783178,0.55,0.2449489742783178
cg,2,overlap,5,1.0,0.0,0.35,0.43588989435406733
cg,5,disjoint,5,0.6080000000000001,0.16277591959500645,0.608,0.2254240448576859
cg,5,overlap,5,0.9199999999999999,0.07589466384404107,0.808,0.13948476619330152
cg,10,disjoint,5,0.728,0.07730459236035073,0.73,0.18417383093154144
cg,10,overlap,5,0.958,0.023151673805580437,0.9559999999999998,0.03826225293941798
cg,20,disjoint,5,0.6743801652892563,0.11144467987462858,0.7140495867768595,0.06827066587789547
cg,20,overlap,5,0.9024793388429753,0.11610320217412197,0.9917355371900826,0.012803250731264273
