dataset,model,nd,n_trials,enh_mean,enh_std,std_mean,std_std
ok,scDesign2,10,5,0.89,0.08221921916437783,0.794,0.10928860873851404
ok,scDesign2,20,5,0.8905,0.0707000707213225,0.6955,0.024361855430159677
ok,scDesign2,50,5,0.7859200000000001,0.050785446734276166,0.65528,0.035977237248015596
ok,scDesign2,100,5,0.72152,0.06498681096961136,0.56828,0.04462969415086778
ok,scDesign3-G,10,5,0.8879999999999999,0.07833262411026455,0.748,0.11838918869558994
ok,scDesign3-G,20,5,0.883,0.07389857914736929,0.692,0.039255572852781064
ok,scDesign3-G,50,5,0.7830400000000001,0.06419001791556064,0.65328,0.024471894082804462
ok,scDesign3-G,100,0,,,0.5718799999999999,0.05019957768746668
ok,scDesign3-V,10,5,0.8960000000000001,0.07578918128598564,0.7200000000000001,0.12083045973594572
ok,scDesign3-V,20,5,0.8865000000000001,0.07356289825720573,0.651,0.0333391661563393
ok,scDesign3-V,50,5,0.7859999999999999,0.05644622219422662,0.64184,0.038052258802862136
ok,scDesign3-V,100,0,,,,
ok,scVI,10,5,0.8140000000000001,0.11447270417003348,0.772,0.10303397497913011
ok,scVI,20,5,0.8290000000000001,0.03770278504301773,0.7469999999999999,0.06311497445139305
ok,scVI,50,5,0.69048,0.08189257353386814,0.5908,0.040583740586594495
ok,scVI,100,0,,,0.5457599999999999,0.027270247523629127
ok,ZINB-WaVE,10,5,0.8540000000000001,0.08089499366462671,0.778,0.10047885349664375
ok,ZINB-WaVE,20,5,0.8760000000000001,0.045458772530722794,0.7639999999999999,0.0671863081289633
ok,ZINB-WaVE,50,5,0.78272,0.10823127828867211,0.66296,0.06713596949474998
ok,ZINB-WaVE,100,0,,,,
ok,scDiffusion,10,0,,,,
ok,scDiffusion,20,0,,,,
ok,scDiffusion,50,0,,,,
ok,scDiffusion,100,0,,,,
ok,NMF,10,5,0.768,0.13181805642627265,0.504,0.06681317235396027
ok,NMF,20,5,0.6675,0.07945124291035358,0.4715,0.05851495535331122
ok,NMF,50,5,0.5099199999999999,0.07033424201624701,0.5644,0.046863205182744394
ok,NMF,100,0,,,,
aida,scDesign2,10,5,0.9480000000000001,0.05268775948927796,1.0,0.0
aida,scDesign2,20,5,0.9034999999999999,0.08227393268830657,0.9984999999999999,0.001999999999999996
aida,scDesign2,50,5,0.90248,0.052448771196282565,0.95816,0.023510474261486097
aida,scDesign2,100,5,0.8203999999999999,0.10083902022530762,0.9159,0.05088331750190825
aida,scDesign3-G,10,5,0.976,0.024979991993593575,1.0,0.0
aida,scDesign3-G,20,5,0.9115000000000002,0.08801420339922418,0.9964999999999999,0.0037416573867739477
aida,scDesign3-G,50,5,0.8852800000000001,0.0527056126043517,0.9148799999999999,0.04292833097151576
aida,scDesign3-G,100,0,,,,
aida,scDesign3-V,10,5,0.8740000000000002,0.14582180906846542,0.5980000000000001,0.249110417285187
aida,scDesign3-V,20,5,0.7353374613003096,0.2246629373009216,0.6487414860681116,0.2946827351180172
aida,scDesign3-V,50,0,,,,
aida,scDesign3-V,100,0,,,,
aida,scVI,10,5,0.8539999999999999,0.11482160075525857,0.818,0.09765244492586962
aida,scVI,20,5,0.771,0.11313266548614505,0.6950000000000001,0.10818964830333815
aida,scVI,50,5,0.7174400000000001,0.04436618532170648,0.61856,0.04327001733302168
aida,scVI,100,0,,,,
aida,ZINB-WaVE,10,5,0.892,0.08726969691708569,0.826,0.08685620300243387
aida,ZINB-WaVE,20,5,0.8125,0.08753570700005797,0.787,0.07289375830618149
aida,ZINB-WaVE,50,5,0.7468,0.01744110088268515,0.66224,0.03424485946824721
aida,ZINB-WaVE,100,0,,,,
aida,scDiffusion,10,0,,,,
aida,scDiffusion,20,0,,,,
aida,scDiffusion,50,0,,,,
aida,scDiffusion,100,0,,,,
aida,NMF,10,5,0.75,0.18319388636087178,0.7020000000000001,0.14147791347061914
aida,NMF,20,5,0.7150000000000001,0.12198360545581526,0.6184999999999998,0.161017079839376
aida,NMF,50,5,0.6018399999999999,0.04644797519806431,0.54384,0.07062491345127443
aida,NMF,100,0,,,,
