dataset,mode,s,enh_bbaux_mean,enh_bbaux_std,enh_bbnoaux_mean,enh_bbnoaux_std,std_bbaux_mean,std_bbaux_std,std_bbnoaux_mean,std_bbnoaux_std,mmd_mean,mmd_std,lisi_mean,lisi_std,ari_mean,ari_std,n_trials
ok,none,0.0,0.79208,0.050475118622941344,0.5503199999999999,0.022534453621066538,0.6607200000000001,0.03625809702673322,0.62944,0.021845420572742504,0.00043896332776598,2.640262133854951e-05,0.8699227977489388,0.002816356531868647,0.4646014132927211,0.037370484668352744,5
ok,cov,0.1,0.81768,0.08085439753037556,0.55024,0.022554609285021985,0.6876,0.05767938973324868,0.6188800000000001,0.02176000000000002,0.00039299425564802003,1.2389655523342306e-05,0.8565111331620784,0.004900841632161491,0.47114455492514756,0.042140176853510736,5
ok,cov,0.5,0.75632,0.041641825128108836,0.5484,0.02259345037837292,0.54616,0.02371375971877931,0.55568,0.02397251759828324,0.00043140541432468003,9.154095022296056e-06,0.7586505510093905,0.004018223434718328,0.5107172109431581,0.022164326860287867,5
ok,cov,1.0,0.7272000000000001,0.017278888853164216,0.5476,0.02250262206943893,0.53056,0.0075072231883699485,0.54136,0.016219691735665013,0.00047987864554044,1.5556819190180234e-05,0.7011697815675265,0.006520893307513697,0.48448923447338227,0.019939374032628465,5
ok,cov,2.0,0.68944,0.017350227664212382,0.5471199999999999,0.02254155274154821,0.4959199999999999,0.01664961260810595,0.5332000000000001,0.026625701868683176,0.0005176574274146001,1.745727539360695e-05,0.6545006913164102,0.005336385901911053,0.4909315869890899,0.022582686219897657,5
ok,marg,0.1,0.7847999999999999,0.05674250611314238,0.55008,0.02301498642189479,0.6628000000000001,0.01932625157654733,0.6304000000000001,0.027756656859211245,0.00062132695627124,3.5645193081139295e-05,0.863453688945311,0.00284289921746596,0.4583253177562462,0.039904771955548105,5
ok,marg,0.2,0.76928,0.04268387986113731,0.5511199999999999,0.022367690984989974,0.6750400000000001,0.03551639621357998,0.6351199999999999,0.031769570346480924,0.0013009878327457,0.00019729411828718074,0.8484341085249938,0.006396471671003557,0.4848869865544925,0.03905155500774518,5
ok,marg,0.3,0.76064,0.0526176244237613,0.54936,0.02186445517272273,0.656,0.04988883642659948,0.61616,0.03516871336856102,0.00226389031039642,0.00039625188945732607,0.7966812497581087,0.018236346327426923,0.4707618299254267,0.057413896144590304,5
ok,marg,0.4,0.73752,0.06429203372113844,0.55024,0.02163937152506976,0.6356,0.03451052013517033,0.60632,0.03126291093292499,0.00474178819342756,0.0007404395419742807,0.6826317293538345,0.018371639701003466,0.4915175671230186,0.03521440367866954,5
ok,marg,0.5,0.67256,0.02745830293372113,0.54872,0.022143387274759917,0.6096799999999999,0.028541506617556122,0.58848,0.024530666521723362,0.00802560968222462,0.0017965152924140982,0.4755269134508097,0.06482112346011977,0.484938606761825,0.03976295391842747,5
ok,marg,0.6,0.65032,0.02762306282800659,0.54768,0.022141942100908862,0.63376,0.015082917489663608,0.6124,0.027949669049919013,0.01129445156532348,0.0004362239118250883,0.3020824547990855,0.015431760001412439,0.4941479744238584,0.028836881624048693,5
ok,marg,0.7,0.6268,0.02832836034789163,0.54656,0.023012483568706776,0.58544,0.009203825291692535,0.57416,0.03082918098166087,0.017148301996254462,0.002658342736278298,0.13118424335106935,0.05355946054626721,0.4290063931228983,0.03154009764716342,5
ok,marg,0.8,0.61656,0.016069050998736702,0.54752,0.021606517535225328,0.6006400000000001,0.03990677135524745,0.5798399999999999,0.020565757948590172,0.02141701451700888,0.002645420249950986,0.04965758128378052,0.013563952221841981,0.47492015725792047,0.023267127321140234,5
ok,marg,0.9,0.59144,0.028385461067243548,0.5457599999999999,0.021602370240323174,0.5861600000000001,0.042652530991724245,0.56744,0.04819467190468257,0.026731134609807437,0.003992598290083891,0.01978865114878334,0.013906860148273619,0.4799248570340744,0.011357253890318324,5
ok,marg,1.0,0.5900000000000001,0.03299260523208191,0.5452,0.024240132012841826,0.56344,0.03083644596901527,0.5516,0.03112503815258711,0.03385649433121819,0.003385343569301356,0.0034809772289826576,0.001988094469552694,0.47012353084419045,0.005592995600423731,5
ok,marg,1.5,0.5575199999999999,0.025118471291063874,0.5436799999999999,0.024251218526086502,0.56216,0.02595824339203248,0.56456,0.020726948641804452,0.0651027656023097,0.0032515625819126695,3.552713678800501e-16,2.664535259100376e-16,0.4758516594504643,0.035285708766499675,5
ok,marg,2.0,0.54184,0.02162309876035349,0.53696,0.022847809523015586,0.5479200000000001,0.0063869867699878295,0.54616,0.011444754256863698,0.10142154176549338,0.010294488969058128,1.3322676295501878e-16,1.0877919644084148e-16,0.46684620700067897,0.03465834906200079,5
ok,both,0.1,0.8023999999999999,0.06269826153889757,0.55,0.022000727260706652,0.6577599999999999,0.03335587504473539,0.60944,0.01557146107467117,0.0005197786637291399,3.2926422478354875e-05,0.848880174738795,0.003320514632679043,0.4866075866725403,0.011217190180453127,5
ok,both,0.2,0.76672,0.028616526693503556,0.5501600000000001,0.02352680173759282,0.6195999999999999,0.03127068915134421,0.59208,0.030251637972182607,0.00108691834505,6.39039046277337e-05,0.7904071913756519,0.0041876751933317465,0.49722102581783584,0.024026498105192917,5
