nd,privbayes_mamamia_auc,pb_std,pb_n,scmama_bb_std_auc,scmama_bb_std_std,scmama_bb_enh_auc,scmama_bb_enh_std
10,0.542,0.12286578042726136,5,0.794,0.10928860873851404,0.89,0.08221921916437783
50,0.49968,0.04158645933474023,5,0.65528,0.035977237248015596,0.7859200000000001,0.050785446734276166
200,0.48881499999999994,0.02001106319014559,5,0.589995,0.09394977301728834,0.653365,0.08530646311974256
